source,window,conn_count,conn_rate,uniq_dst_ports,uniq_dst_hosts,spdp_ratio,meta_ratio,userdata_ratio,mcast_ratio,dst_port_entropy,label,binary,batch
10.10.10.2,49212,1,0.125,1,1,0.0,0.0,0.0,1.0,0.0,normal,normal,phase1_歷史攻防(conn.log已覆蓋僅存特徵)
10.10.10.2,49213,4,0.5,2,2,0.75,0.0,0.0,1.0,0.811,normal,normal,phase1_歷史攻防(conn.log已覆蓋僅存特徵)
10.10.10.2,49214,2,0.25,1,1,1.0,0.0,0.0,1.0,0.0,normal,normal,phase1_歷史攻防(conn.log已覆蓋僅存特徵)
10.10.10.2,49217,3,0.375,1,1,1.0,0.0,0.0,1.0,0.0,normal,normal,phase1_歷史攻防(conn.log已覆蓋僅存特徵)
10.10.10.2,49220,1,0.125,1,1,0.0,0.0,0.0,1.0,0.0,normal,normal,phase1_歷史攻防(conn.log已覆蓋僅存特徵)
10.10.10.2,49221,5,0.625,2,2,0.8,0.0,0.0,1.0,0.722,normal,normal,phase1_歷史攻防(conn.log已覆蓋僅存特徵)
10.10.10.2,49222,1,0.125,1,1,1.0,0.0,0.0,1.0,0.0,normal,normal,phase1_歷史攻防(conn.log已覆蓋僅存特徵)
169.254.215.42,49223,1,0.125,1,1,0.0,0.0,0.0,1.0,0.0,normal,normal,phase1_歷史攻防(conn.log已覆蓋僅存特徵)
fe80::3c13:ec9f:2b6e:b0ea,49223,1,0.125,1,1,0.0,0.0,0.0,0.0,0.0,normal,normal,phase1_歷史攻防(conn.log已覆蓋僅存特徵)
10.10.10.2,49224,2,0.25,1,1,1.0,0.0,0.0,1.0,0.0,normal,normal,phase1_歷史攻防(conn.log已覆蓋僅存特徵)
10.10.10.2,49225,1,0.125,1,1,1.0,0.0,0.0,1.0,0.0,normal,normal,phase1_歷史攻防(conn.log已覆蓋僅存特徵)
10.10.10.2,49227,1,0.125,1,1,0.0,0.0,0.0,1.0,0.0,normal,normal,phase1_歷史攻防(conn.log已覆蓋僅存特徵)
10.10.10.2,49228,4,0.5,2,2,0.75,0.0,0.0,1.0,0.811,normal,normal,phase1_歷史攻防(conn.log已覆蓋僅存特徵)
10.10.10.2,49229,2,0.25,1,1,1.0,0.0,0.0,1.0,0.0,normal,normal,phase1_歷史攻防(conn.log已覆蓋僅存特徵)
10.10.10.2,49232,3,0.375,1,1,1.0,0.0,0.0,1.0,0.0,normal,normal,phase1_歷史攻防(conn.log已覆蓋僅存特徵)
10.10.10.2,49235,1,0.125,1,1,0.0,0.0,0.0,1.0,0.0,normal,normal,phase1_歷史攻防(conn.log已覆蓋僅存特徵)
10.10.10.2,49236,5,0.625,2,2,0.8,0.0,0.0,1.0,0.722,normal,normal,phase1_歷史攻防(conn.log已覆蓋僅存特徵)
10.10.10.2,49237,1,0.125,1,1,1.0,0.0,0.0,1.0,0.0,normal,normal,phase1_歷史攻防(conn.log已覆蓋僅存特徵)
169.254.215.42,49238,1,0.125,1,1,0.0,0.0,0.0,1.0,0.0,normal,normal,phase1_歷史攻防(conn.log已覆蓋僅存特徵)
fe80::3c13:ec9f:2b6e:b0ea,49238,1,0.125,1,1,0.0,0.0,0.0,0.0,0.0,normal,normal,phase1_歷史攻防(conn.log已覆蓋僅存特徵)
10.10.10.2,49239,2,0.25,1,1,1.0,0.0,0.0,1.0,0.0,normal,normal,phase1_歷史攻防(conn.log已覆蓋僅存特徵)
10.10.10.2,49240,1,0.125,1,1,1.0,0.0,0.0,1.0,0.0,normal,normal,phase1_歷史攻防(conn.log已覆蓋僅存特徵)
10.10.10.2,49242,1,0.125,1,1,0.0,0.0,0.0,1.0,0.0,normal,normal,phase1_歷史攻防(conn.log已覆蓋僅存特徵)
10.10.10.2,49243,4,0.5,2,2,0.75,0.0,0.0,1.0,0.811,normal,normal,phase1_歷史攻防(conn.log已覆蓋僅存特徵)
10.10.10.2,49244,2,0.25,1,1,1.0,0.0,0.0,1.0,0.0,normal,normal,phase1_歷史攻防(conn.log已覆蓋僅存特徵)
10.10.10.2,49247,3,0.375,1,1,1.0,0.0,0.0,1.0,0.0,normal,normal,phase1_歷史攻防(conn.log已覆蓋僅存特徵)
10.10.10.2,49250,1,0.125,1,1,0.0,0.0,0.0,1.0,0.0,normal,normal,phase1_歷史攻防(conn.log已覆蓋僅存特徵)
10.10.10.2,49251,5,0.625,2,2,0.8,0.0,0.0,1.0,0.722,normal,normal,phase1_歷史攻防(conn.log已覆蓋僅存特徵)
10.10.10.2,49252,1,0.125,1,1,1.0,0.0,0.0,1.0,0.0,normal,normal,phase1_歷史攻防(conn.log已覆蓋僅存特徵)
169.254.215.42,49253,1,0.125,1,1,0.0,0.0,0.0,1.0,0.0,normal,normal,phase1_歷史攻防(conn.log已覆蓋僅存特徵)
fe80::3c13:ec9f:2b6e:b0ea,49253,1,0.125,1,1,0.0,0.0,0.0,0.0,0.0,normal,normal,phase1_歷史攻防(conn.log已覆蓋僅存特徵)
10.10.10.2,49254,2,0.25,1,1,1.0,0.0,0.0,1.0,0.0,normal,normal,phase1_歷史攻防(conn.log已覆蓋僅存特徵)
10.10.10.2,49255,1,0.125,1,1,1.0,0.0,0.0,1.0,0.0,normal,normal,phase1_歷史攻防(conn.log已覆蓋僅存特徵)
10.10.10.2,49257,1,0.125,1,1,0.0,0.0,0.0,1.0,0.0,normal,normal,phase1_歷史攻防(conn.log已覆蓋僅存特徵)
10.10.10.2,49258,4,0.5,2,2,0.75,0.0,0.0,1.0,0.811,normal,normal,phase1_歷史攻防(conn.log已覆蓋僅存特徵)
10.10.10.2,49259,2,0.25,1,1,1.0,0.0,0.0,1.0,0.0,normal,normal,phase1_歷史攻防(conn.log已覆蓋僅存特徵)
10.10.10.2,49262,3,0.375,1,1,1.0,0.0,0.0,1.0,0.0,normal,normal,phase1_歷史攻防(conn.log已覆蓋僅存特徵)
10.10.10.2,49265,1,0.125,1,1,0.0,0.0,0.0,1.0,0.0,normal,normal,phase1_歷史攻防(conn.log已覆蓋僅存特徵)
10.10.10.2,49266,5,0.625,2,2,0.8,0.0,0.0,1.0,0.722,normal,normal,phase1_歷史攻防(conn.log已覆蓋僅存特徵)
10.10.10.2,49267,1,0.125,1,1,1.0,0.0,0.0,1.0,0.0,normal,normal,phase1_歷史攻防(conn.log已覆蓋僅存特徵)
169.254.215.42,49268,1,0.125,1,1,0.0,0.0,0.0,1.0,0.0,normal,normal,phase1_歷史攻防(conn.log已覆蓋僅存特徵)
fe80::3c13:ec9f:2b6e:b0ea,49268,1,0.125,1,1,0.0,0.0,0.0,0.0,0.0,normal,normal,phase1_歷史攻防(conn.log已覆蓋僅存特徵)
10.10.10.2,49269,2,0.25,1,1,1.0,0.0,0.0,1.0,0.0,normal,normal,phase1_歷史攻防(conn.log已覆蓋僅存特徵)
